feed_type,breast_used,breast_left_time,breast_right_time,bottle_ml,start_time_label,end_time_label
,,0,0,0,2018/08/03 16:57:47,
,,0,0,0,2018/08/03 12:43:00,
,,0,0,0,2018/08/03 09:13:51,
,,0,0,0,2018/08/03 06:42:43,
,,0,0,0,2018/08/03 02:37:00,
,,0,0,0,2018/08/02 23:29:19,
,,0,0,0,2018/08/02 21:32:12,
,,0,0,0,2018/08/02 19:41:00,
,,0,0,0,2018/08/02 17:34:09,
,,0,0,0,2018/08/02 13:35:00,
,,0,0,0,2018/08/02 10:12:33,
,,0,0,0,2018/08/02 07:26:00,
,,0,0,0,2018/08/02 03:49:49,
,,0,0,0,2018/08/01 23:35:32,
,,0,0,0,2018/08/01 21:21:58,
,,0,0,0,2018/08/01 18:53:48,
,,0,0,0,2018/08/01 16:43:00,
,,0,0,0,2018/08/01 13:26:00,
,,0,0,0,2018/08/01 09:28:42,
,,0,0,0,2018/08/01 05:53:50,
,,0,0,0,2018/08/01 02:16:55,
,,0,0,0,2018/07/31 23:41:12,
,,0,0,0,2018/07/31 21:14:00,
,,0,0,0,2018/07/31 18:56:23,
,,0,0,0,2018/07/31 15:50:00,
,,0,0,0,2018/07/31 11:10:00,
,,0,0,0,2018/07/31 08:21:12,
,,0,0,0,2018/07/31 05:13:22,
,,0,0,0,2018/07/30 23:33:00,
,,0,0,0,2018/07/30 21:25:01,
,,0,0,0,2018/07/30 19:30:07,
,,0,0,0,2018/07/30 17:36:00,
,,0,0,0,2018/07/30 14:11:51,
,,0,0,0,2018/07/30 10:33:35,
,,0,0,0,2018/07/30 08:17:00,
,,0,0,0,2018/07/30 06:13:23,
,,0,0,0,2018/07/30 05:38:54,
,,0,0,0,2018/07/29 23:36:33,
,,0,0,0,2018/07/29 21:37:11,
,,0,0,0,2018/07/29 19:38:00,
,,0,0,0,2018/07/29 16:08:32,
,,0,0,0,2018/07/29 13:15:20,
,,0,0,0,2018/07/29 09:25:05,
,,0,0,0,2018/07/29 06:29:26,
,,0,0,0,2018/07/29 03:08:00,
,,0,0,0,2018/07/28 23:40:00,
,,0,0,0,2018/07/28 21:38:00,
,,0,0,0,2018/07/28 19:48:55,
,,0,0,0,2018/07/28 17:44:25,
,,0,0,0,2018/07/28 14:13:22,
,,0,0,0,2018/07/28 11:12:51,
,,0,0,0,2018/07/28 08:35:05,
,,0,0,0,2018/07/28 03:50:02,
,,0,0,0,2018/07/27 23:09:36,
,,0,0,0,2018/07/27 20:39:00,
,,0,0,0,2018/07/27 19:57:52,
,,0,0,0,2018/07/27 15:55:20,
,,0,0,0,2018/07/27 14:08:34,
,,0,0,0,2018/07/27 09:59:33,
,,0,0,0,2018/07/27 06:50:08,
,,0,0,0,2018/07/27 03:23:17,
,,0,0,0,2018/07/27 00:03:58,
,,0,0,0,2018/07/26 23:43:00,
,,0,0,0,2018/07/26 21:14:09,
,,0,0,0,2018/07/26 17:16:08,
,,0,0,0,2018/07/26 13:51:24,
,,0,0,0,2018/07/26 09:18:55,
,,0,0,0,2018/07/26 06:55:34,
,,0,0,0,2018/07/26 02:24:13,
,,0,0,0,2018/07/25 23:34:43,
,,0,0,0,2018/07/25 21:28:11,
,,0,0,0,2018/07/25 19:05:13,
,,0,0,0,2018/07/25 16:41:20,
,,0,0,0,2018/07/25 13:01:55,
,,0,0,0,2018/07/25 10:11:49,
,,0,0,0,2018/07/25 06:45:44,
,,0,0,0,2018/07/25 03:29:10,
,,0,0,0,2018/07/24 22:53:34,
,,0,0,0,2018/07/24 21:32:38,
,,0,0,0,2018/07/24 19:44:32,
,,0,0,0,2018/07/24 15:30:54,
,,0,0,0,2018/07/24 13:16:16,
,,0,0,0,2018/07/24 10:37:00,
,,0,0,0,2018/07/24 07:41:05,
,,0,0,0,2018/07/24 04:40:27,
Bottle Formula,,0,0,90,2018/07/24 04:30:54,
Bottle Breast Milk,,0,0,95,2018/07/24 04:10:39,
,,0,0,0,2018/07/23 23:38:40,
,,0,0,0,2018/07/23 21:25:47,
,,0,0,0,2018/07/23 18:58:10,
,,0,0,0,2018/07/23 16:19:40,
,,0,0,0,2018/07/23 12:58:58,
,,0,0,0,2018/07/23 11:09:44,
,,0,0,0,2018/07/23 08:31:46,
,,0,0,0,2018/07/23 05:00:23,
,,0,0,0,2018/07/22 23:40:00,
,,0,0,0,2018/07/22 21:29:53,
,,0,0,0,2018/07/22 20:01:36,
,,0,0,0,2018/07/22 17:18:03,
,,0,0,0,2018/07/22 15:42:45,
,,0,0,0,2018/07/22 14:11:21,
,,0,0,0,2018/07/22 13:44:25,
,,0,0,0,2018/07/22 09:38:17,
,,0,0,0,2018/07/22 04:55:43,
,,0,0,0,2018/07/21 23:35:51,
,,0,0,0,2018/07/21 21:05:56,
,,0,0,0,2018/07/21 16:48:25,
Bottle Formula,,0,0,125,2018/07/21 16:55:12,
,,0,0,0,2018/07/21 15:06:02,
Bottle Formula,,0,0,125,2018/07/21 14:03:37,
Bottle Breast Milk,,0,0,150,2018/07/21 11:00:26,
Bottle Breast Milk,,0,0,150,2018/07/21 07:00:03,
,,0,0,0,2018/07/21 13:13:42,
,,0,0,0,2018/07/21 11:09:14,
,,0,0,0,2018/07/21 09:05:33,
,,0,0,0,2018/07/21 04:15:00,
Bottle Breast Milk,,0,0,160,2018/07/21 04:30:05,
Breast Timer,L,2400,0,0,2018/07/21 02:45:27,
,,0,0,0,2018/07/20 23:21:25,
,,0,0,0,2018/07/20 21:45:00,
,,0,0,0,2018/07/20 20:21:17,
Bottle Formula,,0,0,125,2018/07/20 20:05:14,
Bottle Breast Milk,,0,0,70,2018/07/20 19:30:59,
Bottle Breast Milk,,0,0,100,2018/07/20 18:16:27,
,,0,0,0,2018/07/20 17:17:42,
Bottle Formula,,0,0,125,2018/07/20 15:16:07,
,,0,0,0,2018/07/20 14:17:00,
Bottle Formula,,0,0,120,2018/07/20 12:01:32,
,,0,0,0,2018/07/20 11:00:32,
Bottle Breast Milk,,0,0,120,2018/07/20 10:00:58,
,,0,0,0,2018/07/20 08:58:25,
Bottle Breast Milk,,0,0,150,2018/07/20 07:01:34,
Breast Input,R,0,1200,0,2018/07/20 06:45:04,
,,0,0,0,2018/07/20 04:10:21,
Breast Input,L,2700,0,0,2018/07/20 03:10:41,
,,0,0,0,2018/07/19 23:15:08,
,,0,0,0,2018/07/19 21:49:06,
,,0,0,0,2018/07/19 20:21:53,
Bottle Breast Milk,,0,0,40,2018/07/19 20:14:42,
Bottle Formula,,0,0,90,2018/07/19 19:20:11,
Bottle Breast Milk,,0,0,90,2018/07/19 19:20:01,
,,0,0,0,2018/07/19 17:55:25,
Bottle Breast Milk,,0,0,70,2018/07/19 15:15:40,
,,0,0,0,2018/07/19 14:57:00,
Bottle Breast Milk,,0,0,120,2018/07/19 14:20:45,
,,0,0,0,2018/07/19 10:03:29,
Bottle Breast Milk,,0,0,120,2018/07/19 09:58:43,
Bottle Breast Milk,,0,0,75,2018/07/19 03:01:15,
Bottle Formula,,0,0,125,2018/07/19 02:45:53,
Bottle Formula,,0,0,150,2018/07/19 07:00:40,
,,0,0,0,2018/07/19 06:43:53,
,,0,0,0,2018/07/19 02:37:08,
,,0,0,0,2018/07/18 23:01:43,
,,0,0,0,2018/07/18 21:32:42,
,,0,0,0,2018/07/18 19:56:29,
Bottle Formula,,0,0,125,2018/07/18 19:06:46,
,,0,0,0,2018/07/18 17:40:50,
,,0,0,0,2018/07/18 16:05:40,
Bottle Breast Milk,,0,0,55,2018/07/18 16:08:51,
Bottle Breast Milk,,0,0,135,2018/07/18 14:08:39,
Bottle Formula,,0,0,125,2018/07/18 11:43:30,
,,0,0,0,2018/07/18 10:06:25,
,,0,0,0,2018/07/18 07:10:00,
,,0,0,0,2018/07/18 04:23:30,
,,0,0,0,2018/07/17 23:27:33,
,,0,0,0,2018/07/17 21:36:00,
,,0,0,0,2018/07/17 19:06:59,
,,0,0,0,2018/07/17 16:20:46,
,,0,0,0,2018/07/17 13:13:54,
,,0,0,0,2018/07/17 10:32:23,
,,0,0,0,2018/07/17 07:33:01,
,,0,0,0,2018/07/17 03:42:38,
,,0,0,0,2018/07/16 23:05:02,
,,0,0,0,2018/07/16 21:39:55,
,,0,0,0,2018/07/16 20:33:29,
,,0,0,0,2018/07/16 17:31:44,
,,0,0,0,2018/07/16 15:36:05,
,,0,0,0,2018/07/16 12:34:00,
,,0,0,0,2018/07/16 12:07:30,
,,0,0,0,2018/07/16 07:22:32,
,,0,0,0,2018/07/16 03:50:52,
,,0,0,0,2018/07/15 23:20:08,
,,0,0,0,2018/07/15 20:52:00,
,,0,0,0,2018/07/15 16:37:56,
,,0,0,0,2018/07/15 13:56:00,
,,0,0,0,2018/07/15 09:12:54,
,,0,0,0,2018/07/15 08:31:02,
,,0,0,0,2018/07/15 04:19:12,
,,0,0,0,2018/07/14 23:46:06,
,,0,0,0,2018/07/14 23:17:16,
,,0,0,0,2018/07/14 21:30:31,
,,0,0,0,2018/07/14 19:17:36,
,,0,0,0,2018/07/14 16:29:05,
,,0,0,0,2018/07/14 12:08:38,
,,0,0,0,2018/07/14 11:48:13,
,,0,0,0,2018/07/14 08:35:41,
,,0,0,0,2018/07/14 04:27:04,
,,0,0,0,2018/07/13 23:37:29,
,,0,0,0,2018/07/13 21:15:54,
,,0,0,0,2018/07/13 19:30:15,
,,0,0,0,2018/07/13 19:07:41,
,,0,0,0,2018/07/13 17:33:05,
,,0,0,0,2018/07/13 12:59:14,
,,0,0,0,2018/07/13 10:13:17,
,,0,0,0,2018/07/13 07:20:36,
,,0,0,0,2018/07/13 03:13:44,
,,0,0,0,2018/07/12 22:58:17,
,,0,0,0,2018/07/12 21:23:45,
,,0,0,0,2018/07/12 18:46:22,
,,0,0,0,2018/07/12 15:09:55,
,,0,0,0,2018/07/12 11:32:24,
,,0,0,0,2018/07/12 09:25:00,
,,0,0,0,2018/07/12 06:47:04,
,,0,0,0,2018/07/12 02:50:46,
,,0,0,0,2018/07/11 23:03:32,
,,0,0,0,2018/07/11 21:00:49,
,,0,0,0,2018/07/11 20:40:03,
,,0,0,0,2018/07/11 15:41:39,
,,0,0,0,2018/07/11 09:43:47,
,,0,0,0,2018/07/11 06:45:06,
,,0,0,0,2018/07/11 03:45:00,
,,0,0,0,2018/07/11 03:12:49,
,,0,0,0,2018/07/10 22:12:02,
,,0,0,0,2018/07/10 19:16:00,
,,0,0,0,2018/07/10 15:03:34,
,,0,0,0,2018/07/10 13:10:00,
,,0,0,0,2018/07/10 10:19:26,
,,0,0,0,2018/07/10 07:53:03,
,,0,0,0,2018/07/10 04:12:39,
,,0,0,0,2018/07/09 23:08:21,
,,0,0,0,2018/07/09 18:11:56,
,,0,0,0,2018/07/09 15:16:45,
,,0,0,0,2018/07/09 12:56:34,
,,0,0,0,2018/07/09 09:41:04,
,,0,0,0,2018/07/09 05:55:00,
,,0,0,0,2018/07/09 01:26:42,
,,0,0,0,2018/07/08 23:38:05,
,,0,0,0,2018/07/08 21:26:27,
,,0,0,0,2018/07/08 17:02:10,
,,0,0,0,2018/07/08 14:54:02,
,,0,0,0,2018/07/08 12:35:49,
