date_label,start_time_label,pump_left_volume_ml,pump_right_volume_ml,pump_total_volume_ml,pump_duration_sec
2018/4/7,2018/4/7 13:06,38,30,68,1380
2018/4/8,2018/4/8 5:43,38,38,76,2520
2018/4/21,2018/4/21 19:08,-1,-1,0,240
2018/4/27,2018/4/27 7:23,25,23,48,780
2018/4/28,2018/4/28 19:27,28,20,48,900
2018/5/9,2018/5/9 21:00,21,5,26,960
2018/5/19,2018/5/19 7:12,30,36,66,1560
2018/5/21,2018/5/21 6:35,31,34,65,1140
2018/5/23,2018/5/23 9:26,32,25,57,960
2018/5/27,2018/5/27 9:18,27,24,51,1140
2018/5/28,2018/5/28 9:03,17,25,42,1140
2018/6/1,2018/6/1 9:44,37,24,61,780
2018/6/6,2018/6/6 2:20,34,26,60,1560
2018/6/6,2018/6/6 22:42,13,10,23,840
2018/6/10,2018/6/10 13:14,29,13,42,1260
2018/6/11,2018/6/11 20:35,19,13,32,900
2018/6/12,2018/6/12 21:37,24,14,38,960
2018/6/16,2018/6/16 8:39,30,16,46,1620
2018/6/17,2018/6/17 21:20,30,17,47,1140
2018/6/19,2018/6/19 11:22,23,11,34,1020
2018/6/20,2018/6/20 8:37,15,9,24,960
2018/6/24,2018/6/24 19:54,40,30,70,1020
2018/6/27,2018/6/27 21:02,24,13,37,1260
2018/6/29,2018/6/29 21:33,33,26,59,780
2018/7/1,2018/7/1 10:57,33,21,54,1080
2018/7/1,2018/7/1 19:49,47,31,78,1500
2018/7/3,2018/7/3 9:10,35,21,56,1080
2018/7/9,2018/7/9 1:26,34,22,56,1080
2018/7/11,2018/7/11 3:45,5,3,8,240
2018/7/11,2018/7/11 9:43,41,23,64,1140
2018/7/13,2018/7/13 19:30,3,1,4,60
2018/7/14,2018/7/14 16:29,52,38,90,1500
2018/3/31,2018/3/31 19:02,10,8,18,900
2018/4/10,2018/4/10 15:18,30,20,50,1140
2018/4/13,2018/4/13 12:55,20,20,40,1020
2018/4/21,2018/4/21 4:37,4,5,9,660
2018/4/24,2018/4/24 0:10,29,30,59,1560
2018/4/26,2018/4/26 17:05,38,28,66,1320
2018/4/27,2018/4/27 11:50,42,35,77,1140
2018/5/5,2018/5/5 2:45,39,38,77,1860
2018/5/15,2018/5/15 13:34,23,18,41,1260
2018/5/22,2018/5/22 22:25,18,22,40,1440
2018/5/30,2018/5/30 6:09,36,33,69,1080
2018/6/6,2018/6/6 10:36,37,26,63,1440
2018/6/9,2018/6/9 3:01,50,20,70,1980
2018/6/14,2018/6/14 9:19,22,8,30,1020
2018/6/21,2018/6/21 13:17,35,20,55,1200
2018/6/23,2018/6/23 7:07,48,24,72,1560
2018/6/23,2018/6/23 21:33,25,17,42,780
2018/6/24,2018/6/24 2:10,44,25,69,1500
2018/6/25,2018/6/25 14:59,29,19,48,1500
2018/6/26,2018/6/26 3:11,31,27,58,1500
2018/6/26,2018/6/26 21:31,23,19,42,1320
2018/6/26,2018/6/26 23:05,25,18,43,1080
2018/6/30,2018/6/30 21:35,25,19,44,1140
2018/7/1,2018/7/1 3:38,59,36,95,1500
2018/7/7,2018/7/7 15:34,41,24,65,1080
2018/7/8,2018/7/8 14:54,29,26,55,1140
2018/7/10,2018/7/10 15:03,38,25,63,960
2018/7/14,2018/7/14 23:46,4,0,4,60
2018/7/17,2018/7/17 10:32,30,21,51,1380
2018/7/19,2018/7/19 10:03,33,21,54,1320
2018/7/24,2018/7/24 10:37,31,29,60,1560
2018/8/1,2018/8/1 18:53,32,17,49,1440
2018/4/3,2018/4/3 15:15,38,17,55,2760
2018/4/14,2018/4/14 6:21,20,15,35,1380
2018/4/16,2018/4/16 21:55,35,40,75,2640
2018/4/19,2018/4/19 0:51,5,15,20,540
2018/5/13,2018/5/13 20:05,14,29,43,660
2018/5/21,2018/5/21 13:02,14,19,33,840
2018/5/27,2018/5/27 20:25,25,26,51,1200
2018/5/28,2018/5/28 18:48,21,36,57,1140
2018/5/30,2018/5/30 19:01,30,37,67,1260
2018/6/1,2018/6/1 5:36,30,19,49,1080
2018/6/2,2018/6/2 13:55,15,16,31,720
2018/6/3,2018/6/3 12:46,24,15,39,1200
2018/6/5,2018/6/5 6:40,48,42,90,1980
2018/6/9,2018/6/9 14:01,5,28,33,1020
2018/6/13,2018/6/13 22:53,20,11,31,1200
2018/6/19,2018/6/19 21:25,32,22,54,1500
2018/6/22,2018/6/22 17:25,35,24,59,1440
2018/6/25,2018/6/25 18:47,38,24,62,1380
2018/6/27,2018/6/27 10:07,43,31,74,1500
2018/7/3,2018/7/3 19:15,47,34,81,1080
2018/7/3,2018/7/3 21:00,31,19,50,1080
2018/7/6,2018/7/6 21:22,22,17,39,1140
2018/7/6,2018/7/6 23:11,22,11,33,840
2018/7/9,2018/7/9 12:56,46,27,73,1440
2018/7/12,2018/7/12 11:32,29,17,46,960
2018/7/13,2018/7/13 17:33,43,29,72,1200
2018/7/22,2018/7/22 9:38,69,48,117,1620
2018/7/23,2018/7/23 8:31,52,33,85,1680
2018/7/23,2018/7/23 12:58,27,16,43,1920
2018/7/24,2018/7/24 21:32,22,14,36,1140
2018/7/25,2018/7/25 23:34,41,22,63,1440
2018/7/28,2018/7/28 11:12,37,16,53,1800
2018/8/2,2018/8/2 7:26,48,25,73,1980
2018/8/7,2018/8/7 7:57,28,20,48,1320
2018/8/10,2018/8/10 8:06,18,9,27,660
2018/8/11,2018/8/11 23:36,20,15,35,960
2018/8/12,2018/8/12 5:39,65,37,102,1740
2018/4/11,2018/4/11 12:19,25,28,53,1200
2018/4/29,2018/4/29 12:18,27,22,49,1260
2018/5/1,2018/5/1 15:02,30,-1,30,660
2018/5/1,2018/5/1 19:55,17,10,27,720
2018/5/6,2018/5/6 21:07,30,38,68,1260
